2026-08-05 00:25:31,911 | INFO     | __main__                     |   Added same artist: Queen - The Show Must Go On
2026-08-05 00:25:31,911 | INFO     | __main__                     |   Added same artist: Queen - Friends Will Be Friends
2026-08-05 00:25:31,911 | INFO     | __main__                     | Same artist tracks found: 8
2026-08-05 00:25:31,912 | INFO     | __main__                     | Different artist tracks found: 5
2026-08-05 00:25:31,912 | INFO     | __main__                     | Total similar tracks: 6
2026-08-05 00:25:31,913 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 4092326621
2026-08-05 00:25:31,913 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 4092329741
2026-08-05 00:25:31,914 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 4092324041
2026-08-05 00:25:31,916 | INFO     | feature_cache                | [CACHE] ✓ Cache HIT for track ID: 4092329741
2026-08-05 00:25:31,917 | INFO     | feature_cache                | [CACHE]   Audio: BPM=152.0, Energy=0.2076
2026-08-05 00:25:31,917 | INFO     | feature_cache                | [CACHE]   MusicBrainz: 6c7bf247-ffb3-4d56-9f9e-b297abd9dd67
2026-08-05 00:25:31,917 | INFO     | feature_cache                | [CACHE]   Last.fm tags: classic rock, rock, Queen
2026-08-05 00:25:31,918 | INFO     | feature_cache                | [CACHE] ✓ Cache HIT for track ID: 4092324041
2026-08-05 00:25:31,919 | INFO     | feature_cache                | [CACHE]   Audio: BPM=112.3, Energy=0.1733
2026-08-05 00:25:31,919 | INFO     | feature_cache                | [CACHE]   MusicBrainz: 4ef32b7c-e77c-4799-9245-74e74ff5f102
2026-08-05 00:25:31,919 | INFO     | feature_cache                | [CACHE]   Last.fm tags: classic rock, rock, 80s
2026-08-05 00:25:31,921 | INFO     | __main__                     | Cache hit for: Queen - Don't Stop Me Now
2026-08-05 00:25:31,921 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 2431707315
2026-08-05 00:25:31,922 | INFO     | __main__                     | Cache hit for: Queen - Another One Bites The Dust
2026-08-05 00:25:31,922 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 88003859
2026-08-05 00:25:31,924 | INFO     | feature_cache                | [CACHE] ✓ Cache HIT for track ID: 2431707315
2026-08-05 00:25:31,925 | INFO     | feature_cache                | [CACHE]   Audio: BPM=76.0, Energy=0.1105
2026-08-05 00:25:31,925 | INFO     | feature_cache                | [CACHE]   MusicBrainz: e37f58f9-37d3-486c-8b7f-3cc0f6633926
2026-08-05 00:25:31,925 | INFO     | feature_cache                | [CACHE]   Last.fm tags: classic rock, rock, hard rock
2026-08-05 00:25:31,926 | INFO     | feature_cache                | [CACHE] ✓ Cache HIT for track ID: 88003859
2026-08-05 00:25:31,928 | INFO     | __main__                     | Cache hit for: Aerosmith - Dream On
2026-08-05 00:25:31,929 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 112662184
2026-08-05 00:25:31,930 | INFO     | feature_cache                | [CACHE] ✓ Cache HIT for track ID: 4092326621
2026-08-05 00:25:31,930 | INFO     | feature_cache                | [CACHE]   Audio: BPM=107.7, Energy=0.1294
2026-08-05 00:25:31,931 | INFO     | __main__                     | Cache entry without features for Led Zeppelin - Stairway to Heaven (Remaster), re-analyzing (track 88003859)
2026-08-05 00:25:31,931 | INFO     | __main__                     | Analyzing track: Led Zeppelin - Stairway to Heaven (Remaster) (fast=True)
2026-08-05 00:25:31,933 | INFO     | feature_cache                | [CACHE] Cache MISS for track ID: 112662184
2026-08-05 00:25:31,934 | INFO     | __main__                     | Cache hit for: Queen - I Want To Break Free (Single Remix)
2026-08-05 00:25:31,935 | INFO     | __main__                     | Analyzing track: Electric Light Orchestra - Mr. Blue Sky (fast=True)
2026-08-05 00:25:32,752 | INFO     | musicbrainz_client           | No MusicBrainz recording found for Led Zeppelin - Stairway to Heaven (Remaster)
2026-08-05 00:25:32,753 | INFO     | __main__                     | Analysis results for Led Zeppelin - Stairway to Heaven (Remaster):
2026-08-05 00:25:32,754 | INFO     | __main__                     |   Audio features: SKIPPED
2026-08-05 00:25:32,754 | INFO     | __main__                     |   MusicBrainz: NOT FOUND
2026-08-05 00:25:32,754 | INFO     | __main__                     |   AcousticBrainz: NOT FOUND
2026-08-05 00:25:32,754 | WARNING  | __main__                     | [FLOW] candidate analysis failed for Led Zeppelin - Stairway to Heaven (Remaster): 'NoneType' object has no attribute 'get'
2026-08-05 00:25:33,097 | WARNING  | musicbrainz_client           | MusicBrainz search failed: 503
2026-08-05 00:25:33,098 | INFO     | __main__                     | Analysis results for Electric Light Orchestra - Mr. Blue Sky:
2026-08-05 00:25:33,098 | INFO     | __main__                     |   Audio features: SKIPPED
2026-08-05 00:25:33,099 | INFO     | __main__                     |   MusicBrainz: NOT FOUND
2026-08-05 00:25:33,099 | INFO     | __main__                     |   AcousticBrainz: NOT FOUND
2026-08-05 00:25:33,099 | WARNING  | __main__                     | [FLOW] candidate analysis failed for Electric Light Orchestra - Mr. Blue Sky: 'NoneType' object has no attribute 'get'
2026-08-05 00:25:33,100 | INFO     | __main__                     | [FLOW] candidate features ready: 4/6
2026-08-05 00:25:33,100 | INFO     | __main__                     | Similarity calc: target_audio=YES, target_acoustic=NO, candidates=6
